fecha,estacion,latitud,longitud,PM25
2020-11-02,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_430,11.1520483,-72.605673,7.0
2020-11-05,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_429,11.1520483,-72.605673,7.0
2020-11-08,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_428,11.1520483,-72.605673,5.0
2020-11-11,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_427,11.1520483,-72.605673,7.0
2020-11-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_426,11.1520483,-72.605673,6.0
2020-11-17,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_425,11.1520483,-72.605673,7.0
2020-11-20,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_424,11.1520483,-72.605673,12.0
2020-11-23,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_423,11.1520483,-72.605673,7.0
2020-11-26,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_422,11.1520483,-72.605673,11.0
2020-11-29,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_421,11.1520483,-72.605673,6.0
2020-12-02,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_420,11.1520483,-72.605673,6.0
2020-12-05,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_419,11.1520483,-72.605673,7.0
2020-12-08,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_418,11.1520483,-72.605673,11.0
2020-12-11,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_417,11.1520483,-72.605673,9.0
2020-12-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_416,11.1520483,-72.605673,7.0
2020-12-17,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_415,11.1520483,-72.605673,7.0
2020-12-20,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_414,11.1520483,-72.605673,10.0
2020-12-23,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_413,11.1520483,-72.605673,7.0
2020-12-26,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_412,11.1520483,-72.605673,8.0
2020-12-29,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_411,11.1520483,-72.605673,12.0
2021-01-01,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_410,11.1520483,-72.605673,7.44
2021-01-04,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_409,11.1520483,-72.605673,8.16
2021-01-07,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_408,11.1520483,-72.605673,10.14
2021-01-10,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_407,11.1520483,-72.605673,9.96
2021-01-13,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_406,11.1520483,-72.605673,5.72
2021-01-16,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_405,11.1520483,-72.605673,8.07
2021-01-19,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_404,11.1520483,-72.605673,11.5
2021-01-22,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_403,11.1520483,-72.605673,5.09
2021-01-25,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_402,11.1520483,-72.605673,12.9
2021-01-28,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_401,11.1520483,-72.605673,12.95
2021-01-31,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_400,11.1520483,-72.605673,14.72
2021-02-03,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_399,11.1520483,-72.605673,9.93
2021-02-06,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_398,11.1520483,-72.605673,10.76
2021-02-09,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_397,11.1520483,-72.605673,10.65
2021-02-12,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_396,11.1520483,-72.605673,16.92
2021-02-15,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_395,11.1520483,-72.605673,10.27
2021-02-18,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_394,11.1520483,-72.605673,6.09
2021-02-21,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_393,11.1520483,-72.605673,11.16
2021-02-24,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_392,11.1520483,-72.605673,13.26
2021-02-27,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_391,11.1520483,-72.605673,7.0
2021-03-02,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_390,11.1520483,-72.605673,16.34
2021-03-05,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_389,11.1520483,-72.605673,12.69
2021-03-08,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_388,11.1520483,-72.605673,11.07
2021-03-11,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_387,11.1520483,-72.605673,9.66
2021-03-14,P_ESTACION VIENTO ARRIBA VIVIENDA C_VAVI_386,11.1520483,-72.605673,5.11
