Id,Descripcion,Latitud,Longitud
albania_1,Cancha sintética 1,11.18199,-72.61488
albania_2,Plaza de Cuestesitas,11.18212,-72.6153
albania_6,Luminaria 3,11.16328,-72.59386
albania_7,Cancha Albania,11.16284,-72.5934
albania_20,Casa del Adulto Mayor,11.09886,-72.53772
albania_23,Centro Educativo La Horqueta,11.16756,-72.50253
albania_24,Barrio Villa Reina - Restaurante Estadero El Quillero,11.18314,-72.61157
albania_25,Barrio Villa Reina - Centro Educativo Cristiano Zayed,11.18383,-72.61172
albania_26,Barrio Villa Reina - Institución Educativa María Auxiliadora de Cuestesitas,11.18538,-72.61276
albania_27,Barrio Villa Reina - Parque Principal,11.18442,-72.61366
albania_28,Parque La Almojabanera,11.18433,-72.61361
albania_29,Cancha sintética 2,11.18274,-72.61575
albania_30,Centro de Salud de Cuestesitas,11.1807,-72.61864
albania_31,Estadero Black & White,11.1815,-72.61877
albania_32,Iglesia de Cuestesitas,11.18115,-72.61987
albania_33,Barrio 13 de Febrero (El Cerro),11.18099,-72.62132
albania_34,Barrio 13 de Febrero - Plaza El Cerro,11.18093,-72.62029
albania_35,Provisiones El Gran Punto - Sector comercial,11.18167,-72.61832
albania_38,Barrio Las Duplex 1,11.16444,-72.58753
albania_39,Barrio Las Duplex 2,11.16341,-72.58737
albania_40,Barrio Las Duplex 3,11.16251,-72.58723
albania_41,Barrio Las Duplex - Casa del Adulto Mayor,11.16251,-72.58723
albania_42,Barrio Sergio Hernández - Polideportivo,11.16251,-72.58723
albania_45,Barrio El Carmen - Parque El Carmen - Cámara de seguridad en el sector,11.16251,-72.58723
albania_47,Barrio El Carmen - I.E. San Rafael de Albania (Entrada),11.16251,-72.58723
albania_49,Barrio El Molino - IPS Previ Diagnóstico,11.16251,-72.58723
albania_52,Barrio El Molino - Patinódromo Municipal de Albania,11.16251,-72.58723
albania_53,Barrio 7 de Agosto 1,11.16251,-72.58723
albania_54,Barrio 7 de Agosto - Cancha de Béisbol La Bombonera,11.16251,-72.58723
albania_58,Barrio San Martín - Registraduría municipal,11.16251,-72.58723
albania_60,Barrio 26 de Febrero - Cancha sintética de fútbol,11.16251,-72.58723
albania_61,Barrio 26 de Febrero - Cancha de microfútbol,11.16251,-72.58723
albania_62,Barrio 26 de Febrero - Sector comercial,11.16251,-72.58723
albania_63,Barrio 26 de Febrero - Parque 26 de Febrero,11.16251,-72.58723
albania_64,Barrio El Silencio - Parque El Silencio 1,11.16251,-72.58723
albania_65,Barrio El Silencio - Parque El Silencio 2,11.16251,-72.58723
albania_66,Letrero Yo Amo Albania,11.16251,-72.58723
albania_67,Biblioteca Municipal de albania,11.16251,-72.58723
albania_68,Alcaldía Municipal,11.16251,-72.58723
albania_69,Hospital Municipal,11.16251,-72.58723
